Author;Type of resin;Isophtalic polyester resin;Orthophtalic polyester resin;Vinylester resin;Phenolic resin;Epoxy resin;Type of fiber;Glass fiber;Carbon fiber;Basalt fiber;Manufacturing process;Pultrusion;Hand lay-up;Filament winding;VARTM;Fiber volume fraction;Profile thickness (mm);Coupon description;Aging effect;Steady condition;Cyclic condition;Immersion;Moisture;Presence of salts;Salt concentration (g/L);pH;Relative humidity;Sustained loading;Exposure time (hours);Exposure time (days);log10(t);Min. exposure temperature (°C);Max. exposure temperature (°C);Avg. exposure temperature (°C);Temperature range (°C);Temperature x time;k(T);1/T (Kelvin);Unaged elastic modulus (GPa);Residual elastic modulus (GPa);Elastic modulus retention
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;540;22.5;1.371;70;70;70;0;1013.6;382.835;0;15.4;14.2;0.925
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;1080;45;1.663;70;70;70;0;1062.1;382.835;0;15.4;13.4;0.87
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;1620;67.5;1.836;70;70;70;0;1090.5;382.835;0;15.4;12.4;0.805
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;2160;90;1.959;70;70;70;0;1110.7;382.835;0;15.4;11.4;0.74
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;0;0;0;90;90;90;0;0;1628.498;0;15.4;15.4;1
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;540;22.5;1.371;90;90;90;0;1303.2;1628.498;0;15.4;14;0.91
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;1080;45;1.663;90;90;90;0;1365.6;1628.498;0;15.4;13;0.845
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;1620;67.5;1.836;90;90;90;0;1402.1;1628.498;0;15.4;12;0.78
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;2160;90;1.959;90;90;90;0;1428;1628.498;0;15.4;11.1;0.72
Stazi et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.47;5;dogbone;hygrothermal chamber;1;0;0;1;0;0;7;1;0;0;0;0;40;40;40;0;0;30.85;0;32.7;32.7;1
Stazi et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.47;5;dogbone;hygrothermal chamber;1;0;0;1;0;0;7;1;0;4320;180;2.258;40;40;40;0;662.4;30.85;0;32.7;30.8;0.943
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;0;0;0;23;23;23;0;0;5.903;0;29.5;29.5;1
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;336;14;1.176;23;23;23;0;322.1;5.903;0;29.5;28.7;0.973
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;792;33;1.531;23;23;23;0;341.9;5.903;0;29.5;29.6;1.003
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;2328;97;1.991;23;23;23;0;366.7;5.903;0;29.5;27.8;0.942
